"module name","license","repository"
"@ewoudenberg/difflib@0.1.0","PSF","https://github.com/ewoudenberg/difflib.js"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@yarnpkg/lockfile@1.1.0","BSD-2-Clause","https://github.com/yarnpkg/yarn/blob/master/packages/lockfile"
"abort-controller@3.0.0","MIT","https://github.com/mysticatea/abort-controller"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@6.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@6.2.1","MIT","https://github.com/chalk/ansi-styles"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"archiver-utils@5.0.2","MIT","https://github.com/archiverjs/archiver-utils"
"archiver@7.0.1","MIT","https://github.com/archiverjs/node-archiver"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"async-mutex@0.5.0","MIT","https://github.com/DirtyHairy/async-mutex"
"async@3.2.4","MIT","https://github.com/caolan/async"
"async@3.2.5","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"at-least-node@1.0.0","ISC","https://github.com/RyanZim/at-least-node"
"axios@0.27.2","MIT","https://github.com/axios/axios"
"b4a@1.6.6","Apache-2.0","https://github.com/holepunchto/b4a"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"bare-events@2.4.2","Apache-2.0","https://github.com/holepunchto/bare-events"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"binary-extensions@2.2.0","MIT","https://github.com/sindresorhus/binary-extensions"
"body-parser@1.20.2","MIT","https://github.com/expressjs/body-parser"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@2.0.1","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.2","MIT","https://github.com/micromatch/braces"
"buffer-crc32@0.2.13","MIT","https://github.com/brianloveswords/buffer-crc32"
"buffer-crc32@1.0.0","MIT","https://github.com/brianloveswords/buffer-crc32"
"buffer@6.0.3","MIT","https://github.com/feross/buffer"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind@1.0.2","MIT","https://github.com/ljharb/call-bind"
"call-me-maybe@1.0.2","MIT","https://github.com/limulus/call-me-maybe"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"chokidar@3.5.3","MIT","https://github.com/paulmillr/chokidar"
"ci-info@3.8.0","MIT","https://github.com/watson/ci-info"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"colors@1.4.0","MIT","https://github.com/Marak/colors.js"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"commander@12.1.0","MIT","https://github.com/tj/commander.js"
"commander@6.2.1","MIT","https://github.com/tj/commander.js"
"compress-commons@6.0.2","MIT","https://github.com/archiverjs/node-compress-commons"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"content-disposition@0.5.4","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.6.0","MIT","https://github.com/jshttp/cookie"
"core-util-is@1.0.3","MIT","https://github.com/isaacs/core-util-is"
"cors@2.8.5","MIT","https://github.com/expressjs/cors"
"crc-32@1.2.2","Apache-2.0","https://github.com/SheetJS/js-crc32"
"crc32-stream@6.0.0","MIT","https://github.com/archiverjs/node-crc32-stream"
"cross-spawn@7.0.3","MIT","https://github.com/moxystudio/node-cross-spawn"
"dayjs@1.11.11","MIT","https://github.com/iamkun/dayjs"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@4.3.4","MIT","https://github.com/debug-js/debug"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"destroy@1.2.0","MIT","https://github.com/stream-utils/destroy"
"dreamopt@0.8.0","MIT","https://github.com/andreyvit/dreamopt.js"
