name,version,licenseName,environment,licenseURL,sourceCodeURL
@types/node,18.0.6,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/yauzl,2.10.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
abbrev,1.1.1,ISC,Standalone,https://opensource.org/licenses/ISC,http://github.com/isaacs/abbrev-js
accepts,1.3.8,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/accepts
ansi-styles,4.3.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chalk/ansi-styles
argparse,2.0.1,Python-2.0,Standalone,https://opensource.org/licenses/Python-2.0,https://github.com/nodeca/argparse
array-find-index,1.0.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/array-find-index
array-flatten,1.1.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/blakeembrey/array-flatten
asap,2.0.6,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/kriskowal/asap
assertion-error,1.1.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chaijs/assertion-error
async,3.2.4,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/caolan/async
asynckit,0.4.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/alexindigo/asynckit
axios,0.27.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/axios/axios
balanced-match,1.0.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/juliangruber/balanced-match
body-parser,1.20.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/expressjs/body-parser
brace-expansion,2.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/juliangruber/brace-expansion
buffer-crc32,0.2.13,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/brianloveswords/buffer-crc32
bytes,3.1.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/visionmedia/bytes.js
call-bind,1.0.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/ljharb/call-bind
chai,4.3.6,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chaijs/chai
chalk,4.1.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chalk/chalk
check-error,1.0.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chaijs/check-error
color-convert,2.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/Qix-/color-convert
color-name,1.1.4,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/colorjs/color-name
combined-stream,1.0.8,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/felixge/node-combined-stream
commander,9.4.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/tj/commander.js
concat-map,0.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/substack/node-concat-map
content-disposition,0.5.4,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/content-disposition
content-type,1.0.4,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/content-type
cookie,0.5.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/cookie
cookie-signature,1.0.6,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/visionmedia/node-cookie-signature
cors,2.8.5,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/expressjs/cors
debug,4.3.4,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/debug-js/debug
debuglog,1.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sam-github/node-debuglog
deep-eql,3.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chaijs/deep-eql
define-lazy-prop,2.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/define-lazy-prop
delayed-stream,1.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/felixge/node-delayed-stream
depd,2.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/dougwilson/nodejs-depd
destroy,1.2.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/stream-utils/destroy
dezalgo,1.0.4,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/npm/dezalgo
ee-first,1.1.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jonathanong/ee-first
ejs,3.1.8,Apache-2.0,Standalone,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/mde/ejs
encodeurl,1.0.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/pillarjs/encodeurl
end-of-stream,1.4.4,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/mafintosh/end-of-stream
escape-html,1.0.3,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/component/escape-html
escape-string-regexp,1.0.5,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/escape-string-regexp
etag,1.8.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/etag
express,4.18.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/expressjs/express
extract-zip,2.0.1,BSD-2-Clause,Standalone,https://opensource.org/licenses/BSD-2-Clause,https://github.com/maxogden/extract-zip
fd-slicer,1.1.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/andrewrk/node-fd-slicer
filelist,1.0.4,Apache-2.0,Standalone,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/mde/filelist
finalhandler,1.2.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/pillarjs/finalhandler
follow-redirects,1.15.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/follow-redirects/follow-redirects
form-data,4.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/form-data/form-data
forwarded,0.2.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/forwarded
fresh,0.5.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/fresh
fs-extra,10.1.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jprichardson/node-fs-extra
fs.realpath,1.0.0,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/isaacs/fs.realpath
function-bind,1.1.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/Raynos/function-bind
get-func-name,2.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chaijs/get-func-name
